publication_number,cosine_distance,cosine_similarity
JP-S488903-Y1,0.0,1.0
JP-S4730636-Y1,0.0,1.0
JP-S4922864-Y1,0.0,1.0
JP-S495190-B1,0.0,1.0
JP-S531436-B1,0.0,1.0
JP-S50219-Y1,0.0,1.0
JP-S4935126-B1,0.0,1.0
JP-S4937850-Y1,0.0,1.0
JP-S4732084-Y1,0.0,1.0
JP-S5124907-B1,0.0,1.0
JP-S553849-Y1,0.0,1.0
JP-S519622-Y1,0.0,1.0
JP-S4720325-Y1,0.0,1.0
JP-S4945318-Y1,0.0,1.0
JP-S4912983-B1,0.0,1.0
JP-S4939999-B1,0.0,1.0
JP-S4921300-Y1,0.0,1.0
JP-S4739293-Y1,0.0,1.0
JP-S4836575-Y1,0.0,1.0
JP-S479054-Y1,0.0,1.0
JP-S493863-B1,0.0,1.0
JP-S4914522-Y1,0.0,1.0
JP-S4732689-Y1,0.0,1.0
JP-S507753-B1,0.0,1.0
JP-S4922502-B1,0.0,1.0
JP-S4740799-Y1,0.0,1.0
JP-S4910950-Y1,0.0,1.0
JP-S496075-Y1,0.0,1.0
JP-S479119-Y1,0.0,1.0
JP-S5554020-Y1,0.0,1.0
JP-S4820266-Y1,0.0,1.0
JP-S472599-Y1,0.0,1.0
JP-S4714472-Y1,0.0,1.0
JP-S484616-Y1,0.0,1.0
JP-S5115797-Y1,0.0,1.0
JP-S4511503-Y1,0.0,1.0
JP-S4823968-Y1,0.0,1.0
JP-S4714098-Y1,0.0,1.0
JP-S5018133-B1,0.0,1.0
JP-S4947641-B1,0.0,1.0
JP-S5123719-B1,0.0,1.0
JP-S4718193-Y1,0.0,1.0
JP-S4930777-B1,0.0,1.0
JP-S4717325-Y1,0.0,1.0
JP-S49499-B1,0.0,1.0
JP-S5039231-B1,0.0,1.0
JP-S497675-Y1,0.0,1.0
JP-S4814627-B1,0.0,1.0
JP-S537628-Y1,0.0,1.0
JP-S4725832-Y1,0.0,1.0
JP-S501280-Y1,0.0,1.0
JP-S4911598-B1,0.0,1.0
JP-S513180-B1,0.0,1.0
JP-S4833311-Y1,0.0,1.0
JP-S482384-Y1,0.0,1.0
JP-S471555-Y1,0.0,1.0
JP-S4943011-Y1,0.0,1.0
JP-S49565-B1,0.0,1.0
JP-S4927080-B1,0.0,1.0
JP-S5139120-B1,0.0,1.0
JP-S4820001-Y1,0.0,1.0
